run,type,module,name,attrname,attrvalue,value
General-2-20260519-00:18:35-54743,config,,,**.loRaGW[0].packetForwarder.localPort,2000,
General-2-20260519-00:18:35-54743,config,,,**.loRaGW[0].packetForwarder.destPort,1000,
General-2-20260519-00:18:35-54743,config,,,**.loRaGW[0].packetForwarder.destAddresses,"""networkServer""",
General-2-20260519-00:18:35-54743,config,,,**.loRaGW[0].packetForwarder.indexNumber,0,
General-2-20260519-00:18:35-54743,config,,,**.networkServer.numApps,1,
General-2-20260519-00:18:35-54743,config,,,**.networkServer.**.evaluateADRinServer,true,
General-2-20260519-00:18:35-54743,config,,,**.networkServer.app[0].typename,NetworkServerApp,
General-2-20260519-00:18:35-54743,config,,,**.networkServer.app[0].destAddresses,"""loRaGW[0]""",
General-2-20260519-00:18:35-54743,config,,,**.networkServer.app[0].destPort,2000,
General-2-20260519-00:18:35-54743,config,,,**.networkServer.app[0].localPort,1000,
General-2-20260519-00:18:35-54743,config,,,**.networkServer.app[0].adrMethod,"""avg""",
General-2-20260519-00:18:35-54743,config,,,**.numberOfPacketsToSend,0,
General-2-20260519-00:18:35-54743,config,,,sim-time-limit,3d,
General-2-20260519-00:18:35-54743,config,,,warmup-period,2h,
General-2-20260519-00:18:35-54743,config,,,simtime-resolution,-11,
General-2-20260519-00:18:35-54743,config,,,repeat,3,
General-2-20260519-00:18:35-54743,config,,,**.loRaNodes[0..19].app[0].timeToFirstPacket,exponential(1h),
General-2-20260519-00:18:35-54743,config,,,**.loRaNodes[0..19].app[0].timeToNextPacket,exponential(1h),
General-2-20260519-00:18:35-54743,config,,,**.loRaNodes[20..24].app[0].timeToFirstPacket,exponential(24h),
General-2-20260519-00:18:35-54743,config,,,**.loRaNodes[20..24].app[0].timeToNextPacket,exponential(24h),
General-2-20260519-00:18:35-54743,config,,,**.loRaNodes[25..39].app[0].timeToFirstPacket,exponential(4h),
General-2-20260519-00:18:35-54743,config,,,**.loRaNodes[25..39].app[0].timeToNextPacket,exponential(4h),
General-2-20260519-00:18:35-54743,config,,,**.alohaChannelModel,false,
General-2-20260519-00:18:35-54743,config,,,**.loRaNodes[*].**.initFromDisplayString,false,
General-2-20260519-00:18:35-54743,config,,,**.loRaNodes[*].**.evaluateADRinNode,true,
General-2-20260519-00:18:35-54743,config,,,**.loRaNodes[*].**initialLoRaBW,125 kHz,
General-2-20260519-00:18:35-54743,config,,,**.loRaNodes[*].**initialLoRaCR,4,
General-2-20260519-00:18:35-54743,config,,,**.loRaNodes[*].numApps,1,
General-2-20260519-00:18:35-54743,config,,,**.loRaNodes[*].app[0].typename,SimpleLoRaApp,
General-2-20260519-00:18:35-54743,config,,,**.LoRaGWNic.radio.iAmGateway,true,
General-2-20260519-00:18:35-54743,config,,,**.loRaGW[*].**.initFromDisplayString,false,
General-2-20260519-00:18:35-54743,config,,,**.loRaNodes[*].LoRaNic.radio.energyConsumer.typename,LoRaEnergyConsumer,
General-2-20260519-00:18:35-54743,config,,,**.loRaNodes[*].**.energySourceModule,"""^.IdealEpEnergyStorage""",
General-2-20260519-00:18:35-54743,config,,,**.loRaNodes[*].LoRaNic.radio.energyConsumer.configFile,"xmldoc(""../energyConsumptionParameters.xml"")",
General-2-20260519-00:18:35-54743,config,,,**.sigma,3.57,
General-2-20260519-00:18:35-54743,config,,,**.constraintAreaMinX,0m,
General-2-20260519-00:18:35-54743,config,,,**.constraintAreaMinY,0m,
General-2-20260519-00:18:35-54743,config,,,**.constraintAreaMinZ,0m,
General-2-20260519-00:18:35-54743,config,,,**.constraintAreaMaxZ,0m,
General-2-20260519-00:18:35-54743,config,,,LoRaNetworkTest.**.radio.separateTransmissionParts,false,
